Song,Artist,Position
Last Night,Morgan Wallen,1
Fast Car,Luke Combs,2
Meltdown,Travis Scott Featuring Drake,3
Cruel Summer,Taylor Swift,4
FE!N,Travis Scott Featuring Playboi Carti,5
Calm Down,Rema & Selena Gomez,6
Fukumean,Gunna,7
Barbie World,Nicki Minaj & Ice Spice With Aqua,8
Vampire,Olivia Rodrigo,9
Dance The Night,Dua Lipa,10
I Know ?,Travis Scott,11
Flowers,Miley Cyrus,12
All My Life,Lil Durk Featuring J. Cole,13
Hyaena,Travis Scott,14
Snooze,SZA,15
Thank God,Travis Scott,16
Topia Twins,Travis Scott Featuring Rob49 & 21 Savage,17
K-POP,"Travis Scott, Bad Bunny & The Weeknd",18
My Eyes,Travis Scott,19
Karma,Taylor Swift Featuring Ice Spice,20
Try That In A Small Town,Jason Aldean,21
What Was I Made For?,Billie Eilish,22
Modern Jam,Travis Scott Featuring Teezo Touchdown,23
Need A Favor,Jelly Roll,24
Delresto (Echoes),Travis Scott & Beyonce,25
Telekinesis,Travis Scott Featuring SZA & Future,26
Sirens,Travis Scott,27
God's Country,Travis Scott,28
Kill Bill,SZA,29
Seven,Jung Kook Featuring Latto,30
Anti-Hero,Taylor Swift,31
Creepin',"Metro Boomin, The Weeknd & 21 Savage",32
Religiously,Bailey Zimmerman,33
Skitzo,Travis Scott Featuring Young Thug,34
Chemical,Post Malone,35
Circus Maximus,Travis Scott Featuring The Weeknd & Swae Lee,36
Thinkin' Bout Me,Morgan Wallen,37
Til Further Notice,Travis Scott Featuring James Blake & 21 Savage,38
Favorite Song,Toosii,39
Mourning,Post Malone,40
Cupid,Fifty Fifty,41
Ella Baila Sola,Eslabon Armado X Peso Pluma,42
In Your Love,Tyler Childers,43
Dial Drunk,Noah Kahan With Post Malone,44
Next Thing You Know,Jordan Davis,45
Lost Forever,Travis Scott Featuring Westside Gunn,46
"You, Me, & Whiskey",Justin Moore & Priscilla Block,47
Love You Anyway,Luke Combs,48
Looove,Travis Scott Featuring Kid Cudi,49
Thought You Should Know,Morgan Wallen,50
Bury Me In Georgia,Kane Brown,51
La Bebe,Yng Lvcas x Peso Pluma,52
Parasail,Travis Scott Featuring Yung Lean & Dave Chappelle,53
Search & Rescue,Drake,54
Jealousy,Offset & Cardi B,55
Enough Is Enough,Post Malone,56
Put It On Da Floor Again,Latto Featuring Cardi B,57
Deli,Ice Spice,58
Un x100to,Grupo Frontera X Bad Bunny,59
LaLa,Myke Towers,60
Where She Goes,Bad Bunny,61
Princess Diana,Ice Spice & Nicki Minaj,62
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",63
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",64
Area Codes,Kaliii,65
What It Is (Block Boy),Doechii Featuring Kodak Black,66
Something Real,Post Malone,67
Overdrive,Post Malone,68
Peaches & Eggplants,Young Nudy Featuring 21 Savage,69
Sabor Fresa,Fuerza Regida,70
Watermelon Moonshine,Lainey Wilson,71
Your Heart Or Mine,Jon Pardi,72
Eyes Closed,Ed Sheeran,73
Daylight,David Kushner,74
Tulum,Peso Pluma & Grupo Frontera,75
I Can See You (Taylor's Version) (From The Vault),Taylor Swift,76
Super Shy,NewJeans,77
Speed Drive,Charli XCX,78
White Horse,Chris Stapleton,79
On The Radar Freestyle,Drake & Central Cee,80
Stand By Me,Lil Durk Featuring Morgan Wallen,81
Fragil,Yahritza y Su Esencia x Grupo Frontera,82
Everything I Love,Morgan Wallen,83
Shake Sumn,DaBaby,84
TQM,Fuerza Regida,85
Popular,"The Weeknd, Playboi Carti & Madonna",86
Too Cool To Die,Post Malone,87
Don't Understand,Post Malone,88
Aqui Te Espero,Ivan Cornejo,89
Novacandy,Post Malone,90
Truck Bed,HARDY,91
I'm Just Ken,Ryan Gosling,92
Jaded,Miley Cyrus,93
Heartbroken,"Diplo, Jessie Murph & Polo G",94
Memory Lane,Old Dominion,95
Oh U Went,Young Thug Featuring Drake,96
ICU,Coco Jones,97
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj,98
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,99
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",100
